Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Get_method,50,97,92,107,"4,06","0,000%","46,25347","8,40","6,41","186,0"
user_info_2,50,98,92,109,"4,45","0,000%","46,38219","21,11","10,78","466,0"
user_info_3,50,97,92,106,"4,12","0,000%","46,59832","17,25","10,83","379,0"
object_info_1,50,117,92,1104,"141,00","0,000%","38,52080","9,18","5,87","244,0"
object_info_2,50,98,91,117,"5,63","0,000%","38,55050","17,54","5,87","466,0"
object_info_3,50,158,92,3102,"420,53","0,000%","13,54646","7,01","2,06","530,0"
object_info_4,50,99,92,108,"4,07","0,000%","13,58696","3,29","2,07","248,0"
TOTAL,350,109,91,3102,"169,00","0,000%","81,85220","28,76","14,18","359,9"
