Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Get_method,250,186,92,1111,"156,23","0,000%","121,47716","22,07","16,85","186,0"
user_info_2,250,535,92,15127,"1472,57","0,000%","15,44545","7,03","3,59","466,0"
user_info_3,250,1031,92,21033,"2394,94","0,400%","11,31683","4,29","2,62","387,9"
object_info_1,250,981,91,21031,"2318,17","0,400%","10,48878","2,60","1,59","253,4"
object_info_2,250,791,92,7124,"1401,64","0,000%","10,49494","4,78","1,60","466,0"
object_info_3,250,1432,92,21052,"3375,60","1,600%","8,59343","4,73","1,29","563,2"
object_info_4,250,1185,91,21012,"2739,74","0,400%","6,80902","1,71","1,03","257,4"
TOTAL,1750,877,91,21052,"2242,72","0,400%","46,76394","16,83","8,07","368,6"
